127.0.0.1 - - [16/Apr/2024:13:59:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Apr/2024:13:59:49 +0900] "GET /webShop/date.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [16/Apr/2024:13:59:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Apr/2024:14:38:29 +0900] "GET /webShop/First HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [16/Apr/2024:14:38:53 +0900] "GET /webShop/First HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [16/Apr/2024:14:38:59 +0900] "GET /webShop/WEB-INF/classes/sec01/ex01/FirstServlet.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2024:14:39:20 +0900] "GET /webShop/WEB-INF/classes/sec01/ex01/FirstServlet.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2024:14:39:29 +0900] "GET /webShop/First HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [16/Apr/2024:14:40:16 +0900] "GET /webShop/First HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [16/Apr/2024:14:40:18 +0900] "GET /webShop/First HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [16/Apr/2024:14:40:23 +0900] "GET /webShop/First HTTP/1.1" 404 824
